id,target_table,scope_key,status,started_at,finished_at,notes
d51e46ab-2fcd-4a1c-adce-514833ae4005,fixtures_raw,fixture:19425172,done,2026-03-22 16:24:27.892923+00,2026-03-22 16:24:29.003478+00,
d7c52db2-c438-483d-928b-96849ac996d3,fixture_xg_raw,fixture:19433711,running,2026-03-22 16:24:47.104022+00,,
d7cba1ff-3fe7-4124-bd79-4425f3784c37,fixtures_raw,fixture:19425172,done,2026-03-22 16:33:06.70603+00,2026-03-22 16:33:08.315398+00,
da86c66b-c8b6-4b30-a2c7-1405997a1b8f,statistics_seasons_referees_raw,referee:17233,done,2026-03-22 16:24:43.546863+00,2026-03-22 16:24:45.033647+00,
dd550020-3e29-4fab-994a-13bc2966ecc4,fixture_predictions_raw,fixture:19433715,done,2026-03-22 16:33:49.191984+00,2026-03-22 16:33:50.049197+00,
e46e648d-030e-4787-838d-642955a7bd9f,fixtures_raw,fixture:19425171,done,2026-03-22 16:33:18.800372+00,2026-03-22 16:33:20.345643+00,
e81ff5ef-1a99-44ad-acf1-9ffaf8a41786,odds_inplay_fixtures_bookmakers_35_raw,fixture:19433711:bookmaker:35,failed,2026-03-22 16:26:24.852029+00,2026-03-22 16:26:25.742195+00,No inplay odds for fixture=19433711 bookmaker=35
e9eb2e2f-b5cd-4828-bd42-466b2ea0669f,fixtures_raw,fixture:19425171,done,2026-03-22 16:33:02.075067+00,2026-03-22 16:33:03.580979+00,
ecbd0ed9-0dca-404c-ab8d-dc7ec287a88c,fixtures_head_to_head_raw,h2h:366:794,done,2026-03-22 16:24:37.297851+00,2026-03-22 16:24:39.361722+00,
f5ded34b-759d-40a8-8216-e86b4859f078,fixture_xg_raw,fixture:19425172,running,2026-03-22 16:23:13.542146+00,,
f88cf3e6-c2b2-4ad1-805a-4a6084acebaf,fixtures_raw,fixture:19425171,done,2026-03-22 16:24:22.652212+00,2026-03-22 16:24:23.981782+00,
f9c5664f-d42d-4fe1-973e-ccf259673169,fixtures_head_to_head_raw,h2h:353:3543,done,2026-03-22 16:33:45.912547+00,2026-03-22 16:33:47.281799+00,
